Title,Land Size,Location,Total Price,Monthly Payment
House For Sale In Malabe,"Beds-3, Baths-2 Size-2178sqft",,"30,000,000","426,249"
House For Sale In Bopitiya,"Beds-3, Baths-2 Size-1500sqft",,"17,500,000","248,645"
House For Rent In Walgammulla,"Beds-3, Baths-1 Size-1500sqft",,,"35,000"
Land For Sale In Ragama,40 Perches,,"3,000,000","42,625"
House For Sale In Kandana,"Beds-3, Baths-2 Size-1667sqft",,"25,000,000","355,207"
House For Sale In Malabe," <spanclass=""hidden-on-mobile"">Colombo.",Colombo ,"67,000,000","951,956"
Land For Sale In Bandarawela,365 Perches,,"69,350,000","985,345"
House For Sale In Minuwangoda,"Beds-4, Baths-2 Size-2400sqft",,"29,500,000","419,145"
House For Sale In Kadawatha,"Beds-4, Baths-2 Size-2500sqft",,"17,500,000","248,645"
House For Sale In Kiribathgoda,"Beds-4, Baths-2 Size-2500sqft",,"15,000,000","213,124"
House For Sale In Kadawatha,"Beds-2, Baths-1 Size-1500sqft",,"12,000,000","170,500"
House For Sale In Kiribathgoda,"Beds-3, Baths-2 Size-1500sqft",,"24,800,000","352,366"
House For Sale In Kadawatha,"Beds-4, Baths-3 Size-3300sqft",,"27,500,000","390,728"
House For Sale In Batuwatta,"Beds-3, Baths-1 Size-1500sqft",,"8,500,000","120,771"
House For Sale In Henegama,"Beds-3, Baths-2 Size-2500sqft",,"19,500,000","277,062"
House For Sale In Kadawatha,"Beds-3, Baths-2 Size-2500sqft",,"23,500,000","333,895"
House For Sale In Mahara,"Beds-3, Baths-2 Size-2500sqft",,"22,000,000","312,583"
House For Sale In Kirillawala,"Beds-4, Baths-2 Size-2500sqft",,"16,000,000","227,333"
House For Sale In Waga,"Beds-6, Baths-2 Size-2200sqft",,"9,800,000","139,241"
House For Sale In Nugegoda,"Beds-3, Baths-2 Size-1200sqft",,"52,000,000","738,831"
Land With House For Sale In Narammala,27 Perches,,"4,500,000","63,937"
Land For Sale In Ekala,16 Perches,,"5,000,000","71,041"
Land With House For Sale In Biyagama,25 Perches,,,
Land For Sale In Dewalapola,47.5 Perches,,"16,625,000","236,213"
House For Rent In Walgammulla,"Beds-3, Baths-1 Size-1500sqft",,,"35,000"
Land For Sale In Ragama,40 Perches,,"3,000,000","42,625"
House For Sale In Kandana,"Beds-3, Baths-2 Size-1667sqft",,"25,000,000","355,207"
House For Sale In Malabe," <spanclass=""hidden-on-mobile"">Colombo.",Colombo ,"67,000,000","951,956"
Land For Sale In Bandarawela,365 Perches,,"69,350,000","985,345"
House For Sale In Minuwangoda,"Beds-4, Baths-2 Size-2400sqft",,"29,500,000","419,145"
House For Sale In Kadawatha,"Beds-4, Baths-2 Size-2500sqft",,"17,500,000","248,645"
House For Sale In Kiribathgoda,"Beds-4, Baths-2 Size-2500sqft",,"15,000,000","213,124"
House For Sale In Kadawatha,"Beds-2, Baths-1 Size-1500sqft",,"12,000,000","170,500"
House For Sale In Kiribathgoda,"Beds-3, Baths-2 Size-1500sqft",,"24,800,000","352,366"
House For Sale In Kadawatha,"Beds-4, Baths-3 Size-3300sqft",,"27,500,000","390,728"
House For Sale In Batuwatta,"Beds-3, Baths-1 Size-1500sqft",,"8,500,000","120,771"
House For Sale In Henegama,"Beds-3, Baths-2 Size-2500sqft",,"19,500,000","277,062"
House For Sale In Kadawatha,"Beds-3, Baths-2 Size-2500sqft",,"23,500,000","333,895"
House For Sale In Mahara,"Beds-3, Baths-2 Size-2500sqft",,"22,000,000","312,583"
House For Sale In Kirillawala,"Beds-4, Baths-2 Size-2500sqft",,"16,000,000","227,333"
House For Sale In Waga,"Beds-6, Baths-2 Size-2200sqft",,"9,800,000","139,241"
House For Sale In Nugegoda,"Beds-3, Baths-2 Size-1200sqft",,"52,000,000","738,831"
Land With House For Sale In Narammala,27 Perches,,"4,500,000","63,937"
Land For Sale In Ekala,16 Perches,,"5,000,000","71,041"
House For Sale In Veyangoda,"Beds-4, Baths-3 Size-1992sqft",,"24,500,000","348,103"
Land With House For Sale In Battaramulla,10 Perches,,"43,000,000","610,957"
Room For Rent In Kadawatha,"Beds-1, Baths-1",,,"7,000"
Land For Sale In Madawala Ulpotha,17 Perches,,"2,200,000","31,258"
House For Sale In Millewa,"Beds-2, Baths-2 Size-sqft",,"8,500,000","120,771"
House For Sale In Karapitiya,"Beds-3, Baths-1 Size-1500sqft",,"9,000,000","127,875"
House For Sale In Bandaragama,"Beds-2, Baths-1 Size-1500sqft",,"11,000,000","156,291"
House For Sale In Meegoda,"Beds-4, Baths-2 Size-1426sqft",,,
House For Sale In Horana,"Beds-3, Baths-1 Size-1000sqft",,"3,100,000","44,046"
House For Sale In Homagama,"Beds-6, Baths-2 Size-2722sqft",,"19,000,000","269,958"
House For Rent In Kadawatha,"Beds-4, Baths-2 Size-3000sqft",,,"75,000"
House For Sale In Homagama,"Beds-6, Baths-2 Size-2700sqft",,"19,000,000","269,958"
House For Sale In Kottawa,"Beds-5, Baths-2 Size-2413sqft",,"32,000,000","454,665"
Land For Sale In Talawatugoda,10 Perches,,"14,500,000","206,020"
House For Sale In Mattegoda,"Beds-6, Baths-3 Size-3450sqft",,"39,000,000","554,124"
